State,August2021rate,Rank
Nebraska,2.2,1
Utah,2.6,2
Idaho,2.9,3
South Dakota,2.9,3
New Hampshire,3.0,5
Vermont,3.0,5
Alabama,3.1,7
Oklahoma,3.2,8
Georgia,3.5,9
Montana,3.5,9
North Dakota,3.6,11
Kansas,3.8,12
Minnesota,3.8,12
Wisconsin,3.9,14
Missouri,4.0,15
Virginia,4.0,15
Indiana,4.1,17
Iowa,4.1,17
Arkansas,4.2,19
South Carolina,4.2,19
Kentucky,4.3,21
North Carolina,4.3,21
Tennessee,4.6,23
Michigan,4.7,24
West Virginia,4.8,25
Maine,4.9,26
Oregon,4.9,26
Wyoming,4.9,26
Florida,5.0,29
Massachusetts,5.0,29
Washington,5.1,31
Delaware,5.4,32
Ohio,5.4,32
Rhode Island,5.8,34
Colorado,5.9,35
Maryland,5.9,35
Texas,5.9,35
Mississippi,6.0,38
Arizona,6.2,39
Louisiana,6.2,39
Alaska,6.4,41
Pennsylvania,6.4,41
District of Columbia,6.5,43
Hawaii,7.0,44
Illinois,7.0,44
Connecticut,7.2,46
New Jersey,7.2,46
New Mexico,7.2,46
New York,7.4,49
California,7.5,50
Nevada,7.7,51
