Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
9/9/2021,California,2.2777,19422557619,1300000000,0,3636060.1,0,1,2021,4,2021,3,9,9
9/9/2021,Colorado,2.2777,1014167919,500000000,0,189860.46,0,2,2021,4,2021,3,9,9
9/9/2021,Connecticut,2.2777,725070962.7,0,0,135739.18,0,3,2021,4,2021,3,9,9
9/9/2021,Hawaii,2.2777,0,64845000,5554726,0,0,4,2021,4,2021,3,9,9
9/9/2021,Illinois,2.2777,4232873381,0,0,792428.22,0,5,2021,4,2021,3,9,9
9/9/2021,Massachusetts,2.2777,2268015460,0,0,424590.88,0,6,2021,4,2021,3,9,9
9/9/2021,Minnesota,2.2777,1088672001,150000000,27812530.42,201933.41,0,7,2021,4,2021,3,9,9
9/9/2021,Nevada,2.2777,0,100000000,0,0,0,8,2021,4,2021,3,9,9
9/9/2021,New Jersey,2.2777,226821610.2,300000000,59332000,39279.9,0,9,2021,4,2021,3,9,9
9/9/2021,New York,2.2777,8954452602,500000000,52472096.33,1672442.46,0,10,2021,4,2021,3,9,9
9/9/2021,Pennsylvania,2.2777,738076135.6,300000000,17977271.14,136504.29,0,11,2021,4,2021,3,9,9
9/9/2021,Texas,2.2777,6021946531,220000000,26522337.57,1124161.03,0,12,2021,4,2021,3,9,9
9/9/2021,Virgin Islands,2.2777,96715084.53,3000000,0,18105.87,0,13,2021,4,2021,3,9,9
9/9/2021,West Virginia,2.2777,0,75000000,0,0,0,14,2021,4,2021,3,9,9
9/8/2021,California,2.2777,19437849182,1300000000,0,2425948.59,0,1,2021,4,2021,3,9,8
9/8/2021,Colorado,2.2777,1014167919,500000000,0,126573.66,0,2,2021,4,2021,3,9,8
9/8/2021,Connecticut,2.2777,725070962.7,0,0,90492.74,0,3,2021,4,2021,3,9,8
9/8/2021,Hawaii,2.2777,4673725,64845000,5554726,0,0,4,2021,4,2021,3,9,8
9/8/2021,Illinois,2.2777,4232873381,0,0,528285.42,0,5,2021,4,2021,3,9,8
9/8/2021,Massachusetts,2.2777,2268015460,0,0,283060.62,0,6,2021,4,2021,3,9,8
9/8/2021,Minnesota,2.2777,1082695471,150000000,21836000,134370.21,0,7,2021,4,2021,3,9,8
9/8/2021,Nevada,2.2777,0,100000000,0,0,0,8,2021,4,2021,3,9,8
9/8/2021,New Jersey,2.2777,218749852.6,300000000,51216000,25629.33,0,9,2021,4,2021,3,9,8
9/8/2021,New York,2.2777,8945256339,500000000,43271615.41,1114234.35,0,10,2021,4,2021,3,9,8
9/8/2021,Pennsylvania,2.2777,734793672.8,300000000,14436008.32,90651.17,0,11,2021,4,2021,3,9,8
9/8/2021,Texas,2.2777,6015194472,220000000,19770278.71,748796.66,0,12,2021,4,2021,3,9,8
9/8/2021,Virgin Islands,2.2777,96715084.53,3000000,0,12070.58,0,13,2021,4,2021,3,9,8
