Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
9/9/2021,California,2.2777,19422557619,1300000000,0,3636060.1,0,1,2021,4,2021,3,9,9
9/9/2021,Colorado,2.2777,1014167919,500000000,0,189860.46,0,2,2021,4,2021,3,9,9
9/9/2021,Connecticut,2.2777,725070962.7,0,0,135739.18,0,3,2021,4,2021,3,9,9
9/9/2021,Illinois,2.2777,4232873381,0,0,792428.22,0,5,2021,4,2021,3,9,9
9/9/2021,Massachusetts,2.2777,2268015460,0,0,424590.88,0,6,2021,4,2021,3,9,9
9/9/2021,Minnesota,2.2777,1088672001,150000000,27812530.42,201933.41,0,7,2021,4,2021,3,9,9
9/9/2021,New Jersey,2.2777,226821610.2,300000000,59332000,39279.9,0,9,2021,4,2021,3,9,9
9/9/2021,New York,2.2777,8954452602,500000000,52472096.33,1672442.46,0,10,2021,4,2021,3,9,9
9/9/2021,Pennsylvania,2.2777,738076135.6,300000000,17977271.14,136504.29,0,11,2021,4,2021,3,9,9
9/9/2021,Texas,2.2777,6021946531,220000000,26522337.57,1124161.03,0,12,2021,4,2021,3,9,9
9/9/2021,Virgin Islands,2.2777,96715084.53,3000000,0,18105.87,0,13,2021,4,2021,3,9,9
12/31/2020,California,2.4087009,17834644465,4000000000,1812000000,0,0,1,2021,1,2020,4,12,31
12/31/2020,Colorado,2.4087009,749420555.1,500000000,159658149.6,0,0,2,2021,1,2020,4,12,31
12/31/2020,Connecticut,2.4087009,505981958.7,250000000,100030415.6,0,0,3,2021,1,2020,4,12,31
12/31/2020,Hawaii,2.4087009,691553087.5,435000000,27065099.82,0,0,6,2021,1,2020,4,12,31
12/31/2020,Illinois,2.4087009,3314334286,973000000,446039434.9,0,0,7,2021,1,2020,4,12,31
12/31/2020,Kentucky,2.4087009,505745626.1,350000000,21185782.77,0,0,9,2021,1,2020,4,12,31
12/31/2020,Louisiana,2.4087009,133460334.3,100000000,0,0,0,10,2021,1,2020,4,12,31
12/31/2020,Massachusetts,2.4087009,2201221744,720000000,167229607.3,0,0,12,2021,1,2020,4,12,31
12/31/2020,Minnesota,2.4087009,969161650.6,400000000,231008479.2,0,0,13,2021,1,2020,4,12,31
12/31/2020,Nevada,2.4087009,61949411.48,102975000,61949663.91,0,0,14,2021,1,2020,4,12,31
12/31/2020,New Jersey,2.4087009,703598655.1,600000000,182860600,0,0,15,2021,1,2020,4,12,31
12/31/2020,New Mexico,2.4087009,206197930.8,125000000,42285694.21,0,0,16,2021,1,2020,4,12,31
12/31/2020,New York,2.4087009,9241378876,800000000,477948269.4,0,0,17,2021,1,2020,4,12,31
12/31/2020,Ohio,2.4087009,1324737399,450000000,144520000,0,0,18,2021,1,2020,4,12,31
12/31/2020,Pennsylvania,2.4087009,821529975.1,700000000,177835165.3,0,0,19,2021,1,2020,4,12,31
12/31/2020,Texas,2.4087009,6002498243,1200000000,426009643.6,0,0,20,2021,1,2020,4,12,31
12/31/2020,Virgin Islands,2.4087009,85009808.52,6000000,3834648,0,0,21,2021,1,2020,4,12,31
12/31/2020,West Virginia,2.4087009,132115267.3,125000000,17924547.51,0,0,23,2021,1,2020,4,12,31
12/31/2019,Virgin Islands,2.3080994,63278073.28,0,0,368131.27,0,13,2020,1,2019,4,12,31
12/31/2018,Virgin Islands,2.2153018,68385072.81,0,0,381846.81,0,13,2019,1,2018,4,12,31
12/29/2017,California,2.21240005,1163484771,550000000,431000000,4492113.37,0,3,2018,1,2017,4,12,29
12/29/2017,Virgin Islands,2.21240005,68827596.97,5000000,1859620,366430.34,0,13,2018,1,2017,4,12,29
12/30/2016,California,2.22559842,3882485775,600000000,446000000,19575441,0,3,2017,1,2016,4,12,30
12/30/2016,Virgin Islands,2.22559842,69136942.37,0,0,382636.23,0,13,2017,1,2016,4,12,30
